text,AliSentiment,AliPositive_prob,AliNeutral_prob,AliNegative_prob,AliRequestId,BaiduSentiment,BaiduConfidence,BaiduPositive_prob,BaiduNegative_prob,BaiduLogid
﻿我今天赢得了比赛，感觉非常兴奋和自豪。😊😊😊,正面,0.9994,0.0,0.0006,3249EBD1-5A85-5486-B9C4-582EF8D52AF7,正向,0.998102,0.999146,0.000853976,1752955732354901447
他的微笑总是能让我心情愉快。,中性,0.2121,0.6525,0.1342,51CDD7DB-B749-58CC-AFB9-85299A75F526,正向,0.981608,0.991724,0.00827624,1752955736816270739
今天的天气非常美，阳光明媚。,正面,0.9685,0.0046,0.0268,2A55D9CD-7A62-5EA9-9FBB-3877769EFC00,正向,0.998006,0.999103,0.00089722,1752955739635572350
我最喜欢的歌曲总是能够让我感到愉悦。,正面,0.943,0.0433,0.0133,F32087AB-99B5-551C-891C-C392162B8273,正向,0.999941,0.999974,2.63361e-05,1752955742453757424
我刚刚收到了一份令人激动的工作提议。💖,正面,0.9986,0.0001,0.0013,E1E26A5B-65FB-5473-9A0A-93E51821E798,正向,0.989393,0.995227,0.00477301,1752955746410773232
我和家人一起度过了一个美好的周末。,正面,0.8753,0.0634,0.061,45EAA40C-7A7A-5EAF-B562-E52D462F4AF0,正向,0.998967,0.999535,0.000464709,1752955749129955048
这部电影真是太感人了，我热泪盈眶。,正面,0.8916,0.0344,0.0739,4784FDB5-9228-56D5-8F66-240F27449403,正向,0.999893,0.999952,4.80774e-05,1752955753373146345
我的朋友们总是支持我，让我觉得很幸运。,正面,0.9758,0.0037,0.0204,F84AA2CC-85B4-5753-BAC5-5EA53A7D0291,正向,0.999545,0.999795,0.00020459,1752955755733232200
我刚刚完成了一个具有挑战性的项目，感到非常满足。,正面,0.9893,0.0014,0.0093,169EA229-3A38-5BE9-AFF2-55053B51DEEC,正向,0.998628,0.999382,0.00061757,1752955758547502115
我的宠物狗总是给我带来无尽的快乐和陪伴。,正面,0.9623,0.0257,0.0119,F7FFC70F-F6C4-513E-940C-3CD2EC4B872B,正向,0.986542,0.993944,0.00605598,1752955775267216824
我今天丢失了我的钱包，感到非常沮丧和焦虑。,负面,0.3558,0.0418,0.6024,DACA2A28-78D9-5721-941F-9C07951BB6CD,负向,0.954306,0.0205623,0.979438,1752955778692339446
那个人对我说了一些伤人的话，让我感到很伤心。,负面,0.0071,0.0026,0.9902,382CDD99-3B76-5395-9932-6581B7D5C549,负向,0.974563,0.0114468,0.988553,1752955782283001567
我的健康状况不佳，让我感到很痛苦。,负面,0.1257,0.0156,0.8586,9991377A-EE36-56DB-8844-153A92ED012D,负向,0.969151,0.0138819,0.986118,1752955785638671933
我的计划遭遇了一连串的挫折，让我感到沮丧。😢😢,正面,0.9928,0.0001,0.007,201964FC-61B5-5F29-9133-D6E06542E6E5,负向,0.953661,0.0208525,0.979147,1752955788690553838
我刚刚失去了一份重要的工作机会，感到非常失落。,负面,0.0314,0.0162,0.9523,811E666C-1359-5967-B8FD-EF82A2976E6E,负向,0.801366,0.0893851,0.910615,1752955792096197492
那场比赛我们输了，感到非常沮丧。,正面,0.8325,0.0352,0.1323,1A0E08A1-5E5E-5505-B4D8-B1FBE2679DB3,负向,0.778799,0.0995406,0.900459,1752955795973690444
😡😡😡我的朋友因为一些误解而生气，让我感到很不愉快。,正面,0.9376,0.0012,0.0612,1B5C7A17-0749-5815-8246-58AF28A2FCF4,负向,0.98802,0.0053909,0.994609,1752955798481202381
我的电脑坏了，这让我感到很恼火。,负面,0.0063,0.0031,0.9906,02690350-3CCB-5B9D-A30D-83717320E6B7,负向,0.987728,0.00552233,0.994478,1752955803314357239
我们计划的度假因天气原因取消了，感到非常失望。,负面,0.0069,0.0013,0.9918,34ABCEFE-E6BE-5A25-8F8C-08D07DE803A6,负向,0.991962,0.0036172,0.996383,1752955804929618401
我感到孤独和无助😭😭，需要一些支持和关心。,正面,0.9953,0.0002,0.0045,E91B1385-8D88-5140-AC8D-1A17A347CB4E,正向,0.959772,0.981897,0.0181029,1752955808704841645
